Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_29_177,VGND,li1,87.1700,92.4800,0.000000
FILLER_29_169,VGND,li1,85.1000,92.4800,0.000000
FILLER_29_165,VGND,li1,82.1100,92.4800,0.000000
FILLER_29_153,VGND,li1,78.6600,92.4800,0.000000
FILLER_29_141,VGND,li1,73.1400,92.4800,0.000000
FILLER_29_139,VGND,li1,69.6900,92.4800,0.000000
FILLER_29_135,VGND,li1,68.5400,92.4800,0.000000
FILLER_29_125,VGND,li1,63.4800,92.4800,0.000000
FILLER_29_113,VGND,li1,58.4200,92.4800,0.000000
FILLER_29_102,VGND,li1,53.3600,92.4800,0.000000
FILLER_29_80,VGND,li1,43.2400,92.4800,0.000000
FILLER_29_70,VGND,li1,38.1800,92.4800,0.000000
FILLER_29_65,VGND,li1,35.6500,92.4800,0.000000
FILLER_29_61,VGND,li1,33.8100,92.4800,0.000000
FILLER_29_57,VGND,li1,32.6600,92.4800,0.000000
FILLER_29_53,VGND,li1,30.5900,92.4800,0.000000
FILLER_29_41,VGND,li1,27.1400,92.4800,0.000000
FILLER_29_29,VGND,li1,21.6200,92.4800,0.000000
FILLER_29_27,VGND,li1,18.1700,92.4800,0.000000
FILLER_29_15,VGND,li1,15.1800,92.4800,0.000000
FILLER_29_3,VGND,li1,9.6600,92.4800,0.000000
FILLER_28_177,VGND,li1,87.1700,87.0400,0.000062
FILLER_28_173,VGND,li1,86.0200,87.0400,0.000062
FILLER_28_161,VGND,li1,82.3400,87.0400,0.000062
FILLER_28_139,VGND,li1,69.6900,87.0400,0.000061
FILLER_28_135,VGND,li1,68.5400,87.0400,0.000061
FILLER_28_111,VGND,li1,57.5000,87.0400,0.000056
FILLER_28_85,VGND,li1,46.0000,87.0400,0.000046
FILLER_28_78,VGND,li1,42.7800,87.0400,0.000044
FILLER_28_29,VGND,li1,20.7000,87.0400,0.000018
FILLER_28_22,VGND,li1,17.0200,87.0400,0.000018
FILLER_28_3,VGND,li1,9.6600,87.0400,0.000018
FILLER_27_177,VGND,li1,87.1700,87.0400,0.000062
FILLER_27_169,VGND,li1,85.1000,87.0400,0.000062
FILLER_27_167,VGND,li1,82.5700,87.0400,0.000062
FILLER_27_163,VGND,li1,81.4200,87.0400,0.000062
FILLER_27_152,VGND,li1,75.6700,87.0400,0.000062
FILLER_27_148,VGND,li1,74.5200,87.0400,0.000062
FILLER_27_135,VGND,li1,68.5400,87.0400,0.000061
FILLER_27_96,VGND,li1,50.1400,87.0400,0.000051
FILLER_27_70,VGND,li1,39.1000,87.0400,0.000039
FILLER_27_57,VGND,li1,32.6600,87.0400,0.000029
FILLER_27_44,VGND,li1,28.5200,87.0400,0.000023
FILLER_27_31,VGND,li1,21.1600,87.0400,0.000018
FILLER_27_23,VGND,li1,16.3300,87.0400,0.000018
FILLER_27_15,VGND,li1,14.2600,87.0400,0.000018
FILLER_27_3,VGND,li1,9.6600,87.0400,0.000018
FILLER_26_176,VGND,li1,86.9400,81.6000,0.000034
FILLER_26_146,VGND,li1,74.0600,81.6000,0.000032
FILLER_26_138,VGND,li1,69.4600,81.6000,0.000030
FILLER_26_126,VGND,li1,66.2400,81.6000,0.000029
FILLER_26_114,VGND,li1,60.7200,81.6000,0.000027
FILLER_26_102,VGND,li1,55.2000,81.6000,0.000023
FILLER_26_82,VGND,li1,43.7000,81.6000,0.000017
FILLER_26_70,VGND,li1,40.4800,81.6000,0.000015
FILLER_26_58,VGND,li1,34.9600,81.6000,0.000011
FILLER_26_46,VGND,li1,29.4400,81.6000,0.000008
FILLER_26_36,VGND,li1,22.7700,81.6000,0.000006
FILLER_26_26,VGND,li1,17.9400,81.6000,0.000006
FILLER_26_15,VGND,li1,13.3400,81.6000,0.000006
FILLER_26_3,VGND,li1,9.6600,81.6000,0.000006
FILLER_25_177,VGND,li1,87.1700,81.6000,0.000034
FILLER_25_165,VGND,li1,82.1100,81.6000,0.000034
FILLER_25_156,VGND,li1,77.7400,81.6000,0.000032
FILLER_25_150,VGND,li1,74.7500,81.6000,0.000032
FILLER_25_146,VGND,li1,73.6000,81.6000,0.000032
FILLER_25_117,VGND,li1,59.5700,81.6000,0.000025
FILLER_25_113,VGND,li1,58.4200,81.6000,0.000025
FILLER_25_108,VGND,li1,56.1200,81.6000,0.000024
FILLER_25_93,VGND,li1,50.1400,81.6000,0.000021
FILLER_25_69,VGND,li1,38.1800,81.6000,0.000014
FILLER_25_57,VGND,li1,34.5000,81.6000,0.000011
FILLER_25_53,VGND,li1,30.5900,81.6000,0.000008
FILLER_25_41,VGND,li1,27.1400,81.6000,0.000007
FILLER_25_29,VGND,li1,21.6200,81.6000,0.000006
FILLER_25_17,VGND,li1,16.1000,81.6000,0.000006
FILLER_25_13,VGND,li1,11.7300,81.6000,0.000006
FILLER_25_3,VGND,li1,7.5900,81.6000,0.000006
FILLER_24_177,VGND,li1,87.1700,76.1600,0.000210
FILLER_24_171,VGND,li1,84.6400,76.1600,0.000209
FILLER_24_151,VGND,li1,75.2100,76.1600,0.000209
FILLER_24_147,VGND,li1,74.0600,76.1600,0.000209
FILLER_24_138,VGND,li1,69.4600,76.1600,0.000207
