Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_29_177,VPWR,li1,87.1700,89.7600,1.799942
FILLER_29_169,VPWR,li1,85.1000,89.7600,1.799942
FILLER_29_165,VPWR,li1,82.1100,89.7600,1.799942
FILLER_29_153,VPWR,li1,78.6600,89.7600,1.799942
FILLER_29_141,VPWR,li1,73.1400,89.7600,1.799942
FILLER_29_139,VPWR,li1,69.6900,89.7600,1.799944
FILLER_29_135,VPWR,li1,68.5400,89.7600,1.799944
FILLER_29_125,VPWR,li1,63.4800,89.7600,1.799945
FILLER_29_113,VPWR,li1,58.4200,89.7600,1.799948
FILLER_29_102,VPWR,li1,53.3600,89.7600,1.799951
FILLER_29_80,VPWR,li1,43.2400,89.7600,1.799959
FILLER_29_70,VPWR,li1,38.1800,89.7600,1.799965
FILLER_29_65,VPWR,li1,35.6500,89.7600,1.799967
FILLER_29_61,VPWR,li1,33.8100,89.7600,1.799969
FILLER_29_57,VPWR,li1,32.6600,89.7600,1.799969
FILLER_29_53,VPWR,li1,30.5900,89.7600,1.799972
FILLER_29_41,VPWR,li1,27.1400,89.7600,1.799976
FILLER_29_29,VPWR,li1,21.6200,89.7600,1.799985
FILLER_29_27,VPWR,li1,18.1700,89.7600,1.799985
FILLER_29_15,VPWR,li1,15.1800,89.7600,1.799985
FILLER_29_3,VPWR,li1,9.6600,89.7600,1.799985
FILLER_28_177,VPWR,li1,87.1700,89.7600,1.799942
FILLER_28_173,VPWR,li1,86.0200,89.7600,1.799942
FILLER_28_161,VPWR,li1,82.3400,89.7600,1.799942
FILLER_28_139,VPWR,li1,69.6900,89.7600,1.799944
FILLER_28_135,VPWR,li1,68.5400,89.7600,1.799944
FILLER_28_111,VPWR,li1,57.5000,89.7600,1.799948
FILLER_28_85,VPWR,li1,46.0000,89.7600,1.799957
FILLER_28_78,VPWR,li1,42.7800,89.7600,1.799959
FILLER_28_29,VPWR,li1,20.7000,89.7600,1.799985
FILLER_28_22,VPWR,li1,17.0200,89.7600,1.799985
FILLER_28_3,VPWR,li1,9.6600,89.7600,1.799985
FILLER_27_177,VPWR,li1,87.1700,84.3200,1.799969
FILLER_27_169,VPWR,li1,85.1000,84.3200,1.799969
FILLER_27_167,VPWR,li1,82.5700,84.3200,1.799969
FILLER_27_163,VPWR,li1,81.4200,84.3200,1.799970
FILLER_27_152,VPWR,li1,75.6700,84.3200,1.799972
FILLER_27_148,VPWR,li1,74.5200,84.3200,1.799972
FILLER_27_135,VPWR,li1,68.5400,84.3200,1.799973
FILLER_27_96,VPWR,li1,50.1400,84.3200,1.799979
FILLER_27_70,VPWR,li1,39.1000,84.3200,1.799983
FILLER_27_57,VPWR,li1,32.6600,84.3200,1.799988
FILLER_27_44,VPWR,li1,28.5200,84.3200,1.799989
FILLER_27_31,VPWR,li1,21.1600,84.3200,1.799994
FILLER_27_23,VPWR,li1,16.3300,84.3200,1.799994
FILLER_27_15,VPWR,li1,14.2600,84.3200,1.799994
FILLER_27_3,VPWR,li1,9.6600,84.3200,1.799994
FILLER_26_176,VPWR,li1,86.9400,84.3200,1.799969
FILLER_26_146,VPWR,li1,74.0600,84.3200,1.799972
FILLER_26_138,VPWR,li1,69.4600,84.3200,1.799973
FILLER_26_126,VPWR,li1,66.2400,84.3200,1.799974
FILLER_26_114,VPWR,li1,60.7200,84.3200,1.799976
FILLER_26_102,VPWR,li1,55.2000,84.3200,1.799977
FILLER_26_82,VPWR,li1,43.7000,84.3200,1.799981
FILLER_26_70,VPWR,li1,40.4800,84.3200,1.799983
FILLER_26_58,VPWR,li1,34.9600,84.3200,1.799986
FILLER_26_46,VPWR,li1,29.4400,84.3200,1.799989
FILLER_26_36,VPWR,li1,22.7700,84.3200,1.799993
FILLER_26_26,VPWR,li1,17.9400,84.3200,1.799994
FILLER_26_15,VPWR,li1,13.3400,84.3200,1.799994
FILLER_26_3,VPWR,li1,9.6600,84.3200,1.799994
FILLER_25_177,VPWR,li1,87.1700,78.8800,1.799899
FILLER_25_165,VPWR,li1,82.1100,78.8800,1.799899
FILLER_25_156,VPWR,li1,77.7400,78.8800,1.799900
FILLER_25_150,VPWR,li1,74.7500,78.8800,1.799900
FILLER_25_146,VPWR,li1,73.6000,78.8800,1.799900
FILLER_25_117,VPWR,li1,59.5700,78.8800,1.799903
FILLER_25_113,VPWR,li1,58.4200,78.8800,1.799903
FILLER_25_108,VPWR,li1,56.1200,78.8800,1.799904
FILLER_25_93,VPWR,li1,50.1400,78.8800,1.799907
FILLER_25_69,VPWR,li1,38.1800,78.8800,1.799916
FILLER_25_57,VPWR,li1,34.5000,78.8800,1.799927
FILLER_25_53,VPWR,li1,30.5900,78.8800,1.799938
FILLER_25_41,VPWR,li1,27.1400,78.8800,1.799948
FILLER_25_29,VPWR,li1,21.6200,78.8800,1.799968
FILLER_25_17,VPWR,li1,16.1000,78.8800,1.799968
FILLER_25_13,VPWR,li1,11.7300,78.8800,1.799968
FILLER_25_3,VPWR,li1,7.5900,78.8800,1.799968
FILLER_24_177,VPWR,li1,87.1700,78.8800,1.799899
FILLER_24_171,VPWR,li1,84.6400,78.8800,1.799899
FILLER_24_151,VPWR,li1,75.2100,78.8800,1.799900
FILLER_24_147,VPWR,li1,74.0600,78.8800,1.799900
FILLER_24_138,VPWR,li1,69.4600,78.8800,1.799900
